,theta,x,y
170,-0.96,4.63,0.0
171,-0.38,16.55,-0.2
172,0.19,23.71,-0.25
173,-0.38,31.14,-0.22
174,-0.19,43.35,-0.3
175,-0.38,50.22,-0.33
176,-1.34,57.38,-0.37
177,-1.72,68.88,-0.64
178,-2.3,74.91,-0.82
179,-2.49,86.54,-1.29
180,-2.3,93.69,-1.6
181,-4.21,104.62,-2.04
182,-4.02,111.2,-2.52
183,-5.17,119.87,-3.13
184,-7.46,132.73,-4.3
185,-7.66,137.88,-4.97
186,-9.19,148.44,-6.39
187,-10.33,154.54,-7.38
188,-14.54,166.41,-9.54
189,-18.37,172.65,-11.16
190,-16.08,184.9,-15.23
191,-20.67,190.29,-16.78
192,-22.2,202.63,-21.44
193,-22.77,205.62,-22.66
194,-24.11,218.42,-28.03
195,-24.31,223.93,-30.5
196,-27.94,229.43,-32.98
197,-29.28,239.47,-38.31
198,-35.41,245.58,-41.74
199,-36.17,256.79,-49.7
200,-37.51,258.26,-50.78
201,-40.96,268.5,-58.64
202,-45.74,272.21,-61.86
203,-44.78,280.14,-69.99
204,-51.48,284.42,-74.24
205,-53.4,293.33,-85.44
206,-53.59,296.93,-90.28
207,-59.9,299.51,-93.78
208,-62.58,306.69,-106.16
209,-62.96,309.4,-111.39
210,-69.66,312.14,-116.76
211,-70.81,317.21,-130.44
212,-70.81,317.77,-132.03
213,-77.32,321.64,-143.16
214,-76.55,323.67,-152.2
215,-82.1,324.62,-156.15
216,-84.4,326.66,-170.88
217,-85.16,327.21,-176.47
218,-90.91,327.64,-181.5
219,-92.82,327.44,-194.13
220,-98.18,327.2,-198.89
221,-101.43,325.23,-212.64
222,-101.62,324.03,-218.55
223,-105.26,322.82,-224.46
224,-106.22,318.94,-238.67
225,-106.79,317.18,-244.73
226,-109.09,316.69,-246.34
227,-114.06,312.19,-259.34
228,-115.78,311.11,-261.77
229,-120.0,304.64,-275.16
230,-119.42,301.76,-280.14
231,-124.59,300.04,-283.2
232,-128.61,291.68,-295.32
233,-128.03,290.89,-296.31
234,-137.22,283.46,-305.81
235,-137.79,274.29,-314.29
236,-141.05,272.32,-316.08
237,-143.73,262.28,-324.2
238,-144.3,254.7,-329.76
239,-150.62,250.72,-332.62
240,-153.1,238.37,-339.58
241,-153.3,232.99,-342.3
242,-158.27,229.48,-344.07
243,-159.42,216.97,-349.06
244,-159.04,216.18,-349.35
245,-161.72,214.61,-349.95
246,-170.14,205.55,-352.95
247,-174.73,200.3,-353.86
248,-167.46,192.48,-354.58
249,-178.37,180.29,-357.29
250,-179.13,173.56,-357.48
251,-179.51,167.11,-357.58
252,-179.9,157.29,-357.67
253,174.74,150.55,-357.68
254,174.17,149.57,-357.59
