,Unnamed: 0,theta,x,y
0,340,0.0,0.0,0.0
1,341,-1.16,3.1161593898942392,0.1547599973312318
2,342,-5.42,11.064309630032765,0.38929732951078777
3,343,-6.0,20.84843810727215,-0.05593288158604981
4,344,-3.87,30.908186531611275,-0.6076226848328474
5,345,-3.68,40.698897697478365,-0.7821932051546621
6,346,-3.48,50.76876816757529,-0.9328873174150396
7,347,-4.07,60.846642225494556,-1.043134642634044
8,348,-3.68,70.77916515882268,-1.2507115655101528
9,349,-3.1,80.84903562891962,-1.401405677770529
10,350,-3.68,90.64328615191678,-1.4456401978809463
11,351,-3.87,100.72314431236595,-1.5958382845088508
12,352,-3.1,110.65417916879667,-1.7734521363282845
13,353,-2.71,120.86890473785225,-1.8168289605793317
14,354,-2.9,130.9503181529016,-1.7967402855869379
15,355,-3.29,141.16305961942732,-1.8001663484290855
16,356,-2.9,150.81897055439072,-1.8813082984507838
17,357,-3.29,160.7515606654217,-1.8886353886499174
18,358,-2.9,170.39698788440043,-1.9602856739518622
19,359,-3.1,180.48038540197965,-1.9801477603683697
20,360,-2.9,189.84367716293372,-2.0157483116184025
21,361,-2.52,199.77626727396466,-2.023075401817538
22,362,-2.52,209.70588123120072,-1.9704763499033202
23,363,-2.32,220.06595792484745,-1.916523576497264
24,364,-2.9,230.43403820631653,-1.822124016049834
25,365,-2.71,241.07724240925282,-1.8241963574001403
26,366,-2.71,251.00834444338633,-1.8015603765425983
27,367,-3.1,260.9394464775198,-1.7789243956850598
28,368,-2.71,271.1546680722079,-1.8322889102883284
29,369,-2.52,281.516232842752,-1.8082992079389477
30,370,-1.94,291.3155107997767,-1.7521607988946428
31,371,-2.32,301.2396684750557,-1.5896971531059503
32,372,-2.52,311.3176097106777,-1.4996946456479794
33,373,-2.13,321.5373627137608,-1.4426985407443027
34,374,-2.13,331.47349218192176,-1.319689630732043
35,375,-2.13,341.68977300557754,-1.1927796933627874
36,376,-3.1,351.1954397373279,-1.0711245048423628
37,377,-2.52,360.9896902603251,-1.115359024952781
38,378,-2.13,371.20944326340816,-1.058362920049106
39,379,-2.13,381.425724087064,-0.9314529826798541
40,380,-2.32,390.6512394633196,-0.8136988215164216
41,381,-2.32,400.29871796253104,-0.7250500355502894
42,382,-2.13,410.08652015230604,-0.6394445810817793
43,383,-1.94,420.1624772853982,-0.5094913122149123
44,384,-2.52,430.236946341593,-0.34957497229136436
45,385,-1.94,440.02623660826544,-0.2939325888795281
46,386,-2.71,449.6807266440342,-0.144861635167576
47,387,-2.52,459.1913536321093,-0.12308335016940575
48,388,-2.13,468.8403202082182,-0.06439763525995446
49,389,-2.71,478.6266343210959,0.05117089026523303
50,390,-2.32,488.5677240455816,0.07430289675524548
51,391,-1.74,498.07487885422944,0.16599501421899276
52,392,-1.74,507.7178931227486,0.3445330133551465
53,393,-2.32,517.5102267209186,0.5404990873306019
54,394,-2.52,527.5881679565408,0.6305015947885764
55,395,-2.32,537.0973068677184,0.682242950843424
56,396,-3.29,546.6049577019987,0.7639473779549455
57,397,-3.29,556.5410199924568,0.6867064552902278
58,398,-3.87,566.046123520872,0.6180995014859043
59,399,-3.29,575.836834686739,0.4435289811640857
60,400,-2.32,585.9132206677609,0.3632447270017636
61,401,-3.29,595.701022857536,0.4488501814702701
62,402,-3.29,605.6370851479942,0.37160925880555595
63,403,-3.48,615.7134711290162,0.29132500464323385
64,404,-3.1,625.9316688774989,0.1780343479266051
65,405,-3.1,636.1463944465545,0.1346575236755605
66,406,-3.1,646.6517550870896,0.08569006206174734
67,407,-3.1,656.5863293006504,0.03841221045370702
68,408,-3.29,666.6607311791423,-0.0019212822997118906
69,409,-2.52,676.5967934696006,-0.07916220496442605
70,410,-2.9,687.0966978281784,-0.01826507270376254
71,411,-3.29,696.7491365837146,-0.029493190259884727
72,412,-2.13,706.6752111838205,-0.10723013855706398
73,413,-2.9,716.3311892964869,0.011877744098207188
74,414,-3.1,725.8333166711072,0.0031969324072349536
75,415,-2.52,736.1983536210785,-0.04272719770896316
76,416,-2.71,747.128720716067,0.01952365604354611
77,417,-3.68,757.2001464407641,0.03911630540346067
78,418,-2.9,767.1391848850172,-0.09805075937458696
79,419,-3.29,777.0722710216806,-0.11536553992594634
80,420,-2.52,787.2884846676335,-0.188705435233679
81,421,-2.9,796.937947269375,-0.1400074106764464
82,422,-2.32,806.7302136898422,-0.14429116937795783
83,423,-2.52,816.5180158796172,-0.0586857149094584
84,424,-2.52,826.166982455726,0.0
