,Unnamed: 0,theta,x,y
0,153.0,-3.1,3.830536644875944,0.2754384547621026
1,154.0,-3.446,11.367343419868678,0.09837063965627868
2,155.0,-2.524,24.246428954861493,0.1456575734732525
3,156.0,-2.718,33.02106296592637,0.4018937645595745
4,157.0,-5.0520000000000005,45.93944367002344,0.746015560268949
5,158.0,-4.71,54.72006293536386,0.650631679609253
6,159.0,-4.976000000000001,67.31021071139371,0.5025624072372518
7,160.0,-5.087999999999999,76.14429621559383,0.44256457477034283
8,161.0,-5.204,88.34216468212651,0.21323505378488988
9,162.0,-4.134,96.47229993097875,0.11276541175766941
10,163.0,-5.244,109.51360032974405,0.1313313402366757
11,164.0,-4.976,117.34143908119032,-0.0004885597047513013
12,165.0,-4.0200000000000005,130.32919112652607,-0.16349227955961515
13,166.0,-3.1,137.62238191452087,-0.14271416531423514
14,167.0,-3.4839999999999995,151.1357817447745,0.13557414419967417
15,168.0,-3.444,158.5103266559386,0.23181778611552045
16,169.0,-3.408,171.77135871163335,0.4198471020859026
17,170.0,-3.7120000000000006,179.5100766379897,0.5167121914194773
18,171.0,-3.71,191.90432846015634,0.660655016424381
19,172.0,-3.982,200.6268853609948,0.7042435189767934
20,173.0,-3.8280000000000003,212.91149347869518,0.812914052298888
21,174.0,-3.75,221.5483972247028,0.8289731147628043
22,175.0,-3.444,233.38635681683996,0.9721067643367765
23,176.0,-3.6379999999999995,242.89376557617342,1.0736663035833747
24,177.0,-3.2920000000000003,254.92618323793323,1.2246243837547541
25,178.0,-3.176,264.15454060333315,1.383200899986507
26,179.0,-3.1399999999999997,276.3005982795266,1.6321311661765585
27,180.0,-3.522,284.6014007975156,1.7839148445311224
28,181.0,-3.254,296.29940803145024,1.9537695564730189
29,182.0,-2.87,305.328183829526,2.100178215576487
30,183.0,-2.104,317.5001284242434,2.416004729435404
31,184.0,-3.368,326.0414831856468,2.7892835320046623
32,185.0,-3.636,337.9564781993803,2.9969927282803224
33,186.0,-3.944,346.4807226028689,3.0498909506367804
34,187.0,-4.172,358.709347605581,3.1552414721476842
35,188.0,-4.4799999999999995,367.85798520002373,3.1441426925154987
36,189.0,-4.862,380.4810183777878,3.1304062785861553
37,190.0,-4.056,389.036154698321,3.008062985379367
38,191.0,-3.406,401.18129510690653,2.993683615935122
39,192.0,-2.564,410.2097428234385,3.1915559124936563
40,193.0,-4.093999999999999,422.1274356181205,3.562918063071166
41,194.0,-2.9859999999999998,430.57320030633036,3.569923698819232
42,195.0,-4.134,440.72235953737254,3.7215163262254984
43,196.0,-4.364,450.5395531383166,3.756980860919966
44,197.0,-4.593999999999999,462.9921894688458,3.7418243958660624
45,198.0,-2.104,471.10328019879114,3.708109574279864
46,199.0,-4.096,482.7531333639166,4.185581810252083
47,200.0,-2.984,491.74833271421056,4.205665745340985
48,201.0,-3.06,503.46877214984653,4.507678658654608
49,202.0,-4.0200000000000005,512.0781263815592,4.618793155930659
50,203.0,-3.79,524.2504334444159,4.707407928482001
51,204.0,-4.9,532.9638624001612,4.866593273370294
52,205.0,-4.4399999999999995,545.0241504571911,4.6968041970230745
53,206.0,-4.287999999999999,553.3846768659702,4.698433527265179
54,207.0,-4.21,565.1660987750663,4.683889608269437
55,208.0,-4.132,574.1423224435065,4.675510519741313
56,209.0,-4.67,586.0399873544588,4.729672807782461
57,210.0,-5.168,594.0881106482796,4.667814837194055
58,211.0,-3.79,605.7599738518887,4.483288315291325
59,212.0,-3.8299999999999996,614.8686639201567,4.573995735524352
60,213.0,-4.9,626.9244223478547,4.724951439691095
61,214.0,-4.86,635.4251129794809,4.6166238459503885
62,215.0,-4.898,647.6297795531357,4.502081805999525
63,216.0,-4.172,656.7450364577393,4.397972676334306
64,217.0,-4.174,668.5828450611369,4.362408659148345
65,218.0,-4.287999999999999,677.302350210427,4.435783641136095
66,219.0,-4.632,688.9393763906752,4.373669968133982
67,220.0,-4.822,697.5488561389355,4.370675571430947
68,221.0,-4.516,710.1113858986506,4.182817132094024
69,222.0,-4.632,718.7201030567369,4.2057118752487925
70,223.0,-4.898,730.6950180086636,4.0889649727529065
71,224.0,-4.21,738.9432420150281,4.055661589394586
72,225.0,-6.354,750.7239482319709,4.049911820409855
73,226.0,-5.7780000000000005,760.4418562369577,3.7248412996280686
74,227.0,-5.858,772.2784716183809,3.3785387569870906
75,228.0,-6.01,781.58592284875,3.165532043457501
76,229.0,-6.506,793.559323764959,2.763976131942414
77,230.0,-6.890000000000001,802.1932687946434,2.464410490262152
78,231.0,-7.194,814.4667174839419,1.8827999664803983
79,232.0,-7.156000000000001,822.9597909005322,1.4541232596718268
80,233.0,-7.424000000000001,833.6295776310222,0.8721931916891521
81,234.0,-7.656000000000001,840.2970897248639,0.5146560505702567
82,235.0,-7.806,847.2377824864334,0.05456295585041744
83,236.0,-7.843999999999999,848.6116550189397,-2.842170943040401e-15
84,237.0,-7.843999999999999,848.6116550189397,-2.842170943040401e-15
