ep,vl,vr,e
-1.03,0.00,0.00
-1.00,0.20,0.02
-0.56,0.60,0.02
0.66,1.06,0.09
0.89,1.27,0.47
0.33,1.23,1.06
-0.83,1.31,1.59
-0.87,1.61,1.65
0.48,2.08,1.52
0.97,2.25,1.66
0.47,2.04,2.04
-0.95,1.87,2.38
-0.97,2.08,2.28
0.49,2.48,1.96
0.99,2.58,1.95
0.64,2.33,2.26
-0.73,2.06,2.57
-1.00,2.13,2.52
0.11,2.52,2.19
1.15,2.72,2.07
0.89,2.44,2.34
-0.83,2.09,2.75
-1.19,2.11,2.68
-0.01,2.53,2.28
1.17,2.78,2.11
1.00,2.49,2.33
-0.60,2.11,2.72
-1.08,2.07,2.72
-0.49,2.37,2.37
1.04,2.74,2.10
1.11,2.57,2.22
-0.27,2.18,2.62
-1.14,2.12,2.77
-0.70,2.38,2.44
0.95,2.78,2.09
1.20,2.65,2.09
0.47,2.24,2.45
-1.05,1.99,2.82
-1.06,2.25,2.64
0.55,2.72,2.19
1.29,2.70,2.03
0.58,2.34,2.39
-1.03,2.05,2.77
-1.10,2.16,2.58
0.34,2.63,2.18
1.12,2.74,2.08
0.73,2.45,2.35
-0.93,2.12,2.74
-1.11,2.20,2.63
0.34,2.66,2.20
1.17,2.79,2.06
0.85,2.45,2.41
-0.93,2.10,2.81
-1.06,2.22,2.67
0.27,2.68,2.27
1.12,2.80,2.14
0.75,2.48,2.41
-0.76,2.16,2.79
-0.99,2.19,2.67
-0.01,2.59,2.34
1.00,2.79,2.17
0.74,2.54,2.38
-0.82,2.21,2.76
-1.07,2.21,2.65
0.21,2.61,2.28
1.08,2.74,2.14
0.69,2.46,2.39
-0.90,2.18,2.80
-1.04,2.27,2.68
0.24,2.65,2.30
1.02,2.78,2.18
0.65,2.51,2.50
-0.57,2.21,2.76
-1.04,1.64,2.35
-0.93,1.83,2.08
0.90,2.37,1.67
1.12,2.23,1.75
-0.45,1.79,2.32
-1.06,1.77,2.38
-0.13,2.16,1.98
1.04,2.36,1.73
0.78,2.09,1.94
-0.47,1.67,2.35
-0.58,1.88,2.08
1.04,2.28,1.81
