,Unnamed: 0,Unnamed: 0.1,theta,x,y
0,0,255,0.0,0.0,0.0
1,1,256,-0.19,0.1399607898707146,0.0033132006829762
2,2,257,1.53,4.488979132330988,0.0962618797704017
3,3,258,0.77,17.39731425302685,0.7419277467710887
4,4,259,-0.38,33.10794171462834,1.3238940368370662
5,5,260,-0.38,46.586296254047625,1.5529331376810347
6,6,261,-0.57,57.95500508893807,1.742034770365198
7,7,262,-0.38,67.6444211025716,1.8813807955771664
8,8,263,0.19,76.76328678587085,2.037228958695028
9,9,264,-0.38,86.44986291320467,2.296541375224752
10,10,265,-0.57,97.25849193142064,2.4823874044534904
11,11,266,-0.77,107.22806618198722,2.618362631754932
12,12,267,-0.57,117.75843022080322,2.7276018646823594
13,13,268,-0.57,128.70796665765644,2.8767722974881558
14,14,269,-0.77,140.08761932058994,3.026121790258041
15,15,270,-1.53,150.46802537025877,3.131811165310852
16,16,271,-1.92,160.58158358295395,3.1011472055951166
17,17,272,-1.92,171.53703644959822,3.000387656488922
18,18,273,-1.53,182.20257053722452,2.892765048825134
19,19,274,-1.34,191.896009723116,2.8621586863369486
20,20,275,-1.34,201.99886076495977,2.86124966725901
21,21,276,-1.92,213.37182942929977,2.87040171296654
22,22,277,-1.92,224.60767719006876,2.75627416667334
23,23,278,-1.92,234.71265814663727,2.665390354107085
24,24,279,-1.15,244.81787576039756,2.5645093422643512
25,25,280,-1.34,254.7898165828805,2.6005125768009965
26,26,281,-1.72,264.62250658706773,2.6032110128252266
27,27,282,-2.3,275.42729149298987,2.5288932036738543
28,28,283,-2.68,286.9449540910334,2.3414144645347674
29,29,284,-2.49,298.3143153002712,2.0804054725857064
30,30,285,-2.3,308.0015438019524,1.8896072644822064
31,31,286,-2.68,317.82825977912097,1.7221166556146423
32,32,287,-2.68,328.4971070674304,1.4745332580801405
33,33,288,-2.68,339.7262708296058,1.220208264724583
34,34,289,-2.49,351.6561851699014,0.9424604776779884
35,35,290,-2.3,362.46428327650654,0.7281818786559011
36,36,291,-2.87,372.71111828047896,0.5606336725607868
37,37,292,-3.45,382.40000338250167,0.2998550695219286
38,38,293,-4.21,391.3802706218525,-0.0277121905058486
39,39,294,-4.02,400.4935779952889,-0.4821664976365269
40,40,295,-3.64,409.7463728442127,-0.9133132055312672
41,41,296,-3.26,420.4092461055034,-1.3310856479575648
42,42,297,-2.49,432.48219777916114,-1.73548382491542
43,43,298,-1.53,443.5704541226993,-1.9531332218480328
44,44,299,-0.77,453.3940935563767,-1.990660240121363
45,45,300,-0.57,462.8042979618437,-1.8879322141047865
46,46,301,-0.77,471.36403045723495,-1.775328451548269
47,47,302,-1.15,479.7942726764153,-1.6857956310360436
48,48,303,-0.77,488.2159376394691,-1.6564826633743408
49,49,304,-0.96,497.6261420449361,-1.5537546373577644
50,50,305,-0.57,507.4474149066969,-1.491309662866298
51,51,306,0.19,518.4069485428266,-1.3419025728688592
52,52,307,0.57,529.3529351218052,-1.0427741509158714
53,53,308,0.77,540.7171474700546,-0.6637257319785963
54,54,309,0.38,551.6605308199252,-0.2546281179843284
55,55,310,0.57,561.6260818982338,0.0512994970172666
56,56,311,0.0,570.7513949229349,0.3573423064739636
57,57,312,-0.57,578.7491543441186,0.5466680597868923
58,58,313,-0.19,587.1689260496391,0.6559586216604316
59,59,314,0.0,596.0171573808987,0.8354086384334227
60,60,315,0.38,604.714720751436,1.0413003951612332
61,61,316,0.19,615.2401149892273,1.3604808128947337
62,62,317,0.38,628.0153523786101,1.712914700194533
63,63,318,0.0,640.080078647788,2.078537524717253
64,64,319,-0.38,650.1872471163088,2.317797945466465
65,65,320,0.0,660.0161506054297,2.4804515699143703
66,66,321,0.19,668.5837503853728,2.683266783150847
67,67,322,0.57,676.7207606248522,2.9058973349761903
68,68,323,0.19,685.4261912799411,3.2020005423839564
69,69,324,0.57,694.9628094181278,3.457763101039065
70,70,325,-0.57,706.4769797555243,3.840361377850959
71,71,326,-1.15,717.8463985619896,3.9994714127056823
72,72,327,-1.53,729.6387762815584,4.0385574590151005
73,73,328,-1.92,741.1528890217274,4.001036709023209
74,74,329,-2.49,751.1179091884253,3.9068396957739786
75,75,330,-2.87,759.8244655322449,3.732837879995565
76,76,331,-3.64,767.9618914888802,3.515355006464164
77,77,332,-4.41,775.821289123307,3.2112681373549705
78,78,333,-4.21,784.0941217859443,2.766926223955881
79,79,334,-4.02,794.6094036300042,2.2456319308901698
80,80,335,-3.06,805.6947624900151,1.7278298984715192
81,81,336,-3.64,816.4954666264517,1.4033454502165128
82,82,337,-4.21,827.8593271230543,0.9521530148227022
83,83,338,-4.79,839.2160303066802,0.3807575309194888
84,84,339,-4.6,845.5268086820191,0.0
