ep,vl,vr,e
1.21,-0.02,0.00
1.20,0.04,0.10
1.13,0.24,0.42
0.95,0.41,0.78
0.59,0.63,1.12
0.02,0.84,1.36
-0.43,1.03,1.53
-0.59,1.25,1.60
-0.55,1.46,1.64
-0.41,1.63,1.65
-0.21,1.74,1.62
-0.01,1.81,1.64
0.05,1.85,1.67
-0.05,1.86,1.72
-0.06,1.87,1.75
-0.05,1.87,1.76
0.06,1.90,1.77
0.16,1.94,1.82
0.16,1.97,1.85
0.10,1.96,1.88
0.02,1.95,1.89
0.05,1.98,1.91
0.08,1.98,1.91
0.04,2.03,1.93
-0.02,1.98,1.92
0.09,2.00,1.94
0.15,2.02,1.93
0.12,2.02,1.96
0.16,2.03,1.99
0.24,2.05,1.97
0.31,2.04,1.98
0.24,1.95,1.94
0.08,1.94,1.99
0.01,1.95,2.02
0.03,1.94,1.97
0.07,1.97,1.98
0.06,2.00,2.02
0.06,2.00,2.02
0.09,2.00,1.99
0.23,2.00,1.96
0.18,1.98,1.96
0.13,1.96,1.95
0.10,1.95,1.94
0.11,1.96,1.93
0.22,1.99,1.93
0.23,1.95,1.92
0.16,1.94,1.96
0.17,1.93,1.97
0.17,1.91,1.93
0.05,1.96,1.97
0.05,1.99,2.01
0.10,2.03,2.05
0.08,1.99,2.00
0.08,2.03,2.04
0.01,2.02,2.01
0.01,1.98,1.99
-0.16,2.00,2.03
-0.13,2.04,2.01
-0.08,1.97,1.92
-0.04,1.98,1.90
0.00,2.00,1.92
0.09,1.98,1.88
0.12,2.03,1.92
0.07,1.98,1.90
0.10,1.94,1.88
0.09,1.94,1.86
0.21,1.93,1.87
0.25,1.90,1.88
0.17,1.90,1.90
0.17,1.92,1.94
0.20,1.94,1.93
0.27,1.93,1.91
0.30,1.90,1.88
0.29,1.88,1.87
0.17,1.85,1.87
0.12,1.84,1.88
0.18,1.83,1.86
0.12,1.88,1.91
0.03,1.89,1.93
-0.09,1.91,1.98
-0.15,1.97,2.03
-0.13,1.99,2.02
-0.16,2.02,2.04
-0.07,2.03,2.01
0.06,2.05,1.99
