,theta,x,y
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.96,0.98,0.0
3,5.17,4.07,0.05
4,10.92,10.5,0.63
5,11.3,21.26,2.71
6,8.04,33.24,5.1
7,4.6,43.25,6.52
8,0.0,51.64,7.19
9,-3.26,58.24,7.19
10,-4.21,63.71,6.88
11,-2.11,68.05,6.56
12,0.57,73.38,6.36
13,2.11,80.4,6.44
14,1.92,87.56,6.7
15,0.19,94.71,6.94
16,-1.72,102.58,6.96
17,-3.45,109.45,6.76
18,-3.45,116.18,6.35
19,-2.11,122.77,5.95
20,0.19,129.5,5.71
21,1.72,136.24,5.73
22,3.06,142.84,5.93
23,2.68,149.01,6.26
24,1.53,154.9,6.53
25,0.38,161.64,6.71
26,-0.96,168.52,6.76
27,-0.96,175.82,6.64
28,-0.19,183.12,6.52
29,0.19,189.85,6.49
30,1.15,196.17,6.52
31,1.53,203.19,6.66
32,1.34,209.51,6.82
33,0.96,216.25,6.98
34,0.77,223.12,7.1
35,0.57,229.72,7.19
36,0.19,236.18,7.25
37,0.38,242.78,7.27
38,0.0,249.52,7.32
39,-0.19,255.84,7.32
40,-0.19,262.86,7.29
41,0.19,269.6,7.27
42,0.77,276.76,7.3
43,0.96,283.92,7.39
44,0.57,290.66,7.5
45,0.77,297.54,7.57
46,0.77,304.56,7.67
47,1.15,311.58,7.76
48,1.72,319.3,7.92
49,2.49,326.88,8.14
50,3.45,333.19,8.42
51,2.68,339.92,8.82
52,2.11,346.23,9.12
53,0.96,352.12,9.34
54,0.0,358.44,9.44
55,-0.19,365.04,9.44
56,0.38,371.92,9.42
57,0.77,379.78,9.47
58,2.49,386.94,9.57
59,2.3,393.25,9.84
60,2.3,399.99,10.11
61,1.72,406.3,10.37
62,1.72,413.32,10.58
63,1.34,420.33,10.79
64,1.34,427.35,10.95
65,1.53,433.95,11.11
66,1.72,440.55,11.28
67,1.72,446.72,11.47
68,0.96,453.18,11.66
69,0.38,459.49,11.77
70,0.0,465.95,11.81
71,0.96,472.27,11.81
72,1.53,479.71,11.94
73,3.26,487.15,12.13
74,2.87,493.32,12.49
75,2.68,500.19,12.83
76,1.92,506.36,13.12
77,1.15,512.53,13.33
78,0.38,519.55,13.47
79,0.77,526.85,13.52
80,1.53,533.59,13.61
81,2.3,540.33,13.79
82,2.49,547.2,14.06
83,1.72,553.38,14.33
84,1.34,559.55,14.52
