,theta,x,y
340,0.0,0.0,0.0
341,0.0,0.0,0.0
342,-2.87,4.07,0.0
343,-5.74,11.49,-0.37
344,-3.64,18.05,-1.03
345,-3.44,27.16,-1.61
346,1.53,35.84,-2.13
347,0.57,41.03,-1.99
348,0.19,52.81,-1.88
349,-0.38,58.84,-1.86
350,-0.57,64.59,-1.89
351,3.44,76.52,-2.01
352,0.96,80.3,-1.79
353,-1.53,92.22,-1.59
354,-1.91,97.27,-1.72
355,-1.15,106.24,-2.02
356,-2.87,110.87,-2.11
357,-3.44,124.46,-2.8
358,-3.06,125.58,-2.86
359,-3.83,130.35,-3.12
360,-5.17,145.04,-4.1
361,-5.36,150.77,-4.62
362,-8.8,153.01,-4.83
363,-12.82,167.01,-7.0
364,-13.01,172.89,-8.34
365,-16.27,176.86,-9.25
366,-17.42,190.32,-13.18
367,-17.8,192.2,-13.77
368,-24.11,197.94,-15.61
369,-25.84,211.39,-21.63
370,-26.22,216.69,-24.2
371,-28.13,218.2,-24.94
372,-30.24,228.22,-30.3
373,-35.02,231.98,-32.49
374,-36.94,238.64,-37.16
375,-38.47,242.23,-39.86
376,-39.23,253.21,-48.59
377,-37.89,261.8,-55.6
378,-37.89,261.8,-55.6
379,-47.84,267.78,-60.25
380,-51.67,271.73,-64.62
381,-51.86,275.47,-69.35
382,-52.44,279.2,-74.09
383,-56.65,286.04,-82.99
384,-56.65,289.74,-88.62
385,-61.24,291.75,-91.66
386,-63.54,298.9,-104.7
387,-63.73,301.59,-110.1
388,-66.22,302.4,-111.73
389,-70.05,308.28,-125.09
390,-70.24,310.24,-130.49
391,-72.34,310.67,-131.68
392,-75.98,314.54,-143.85
393,-75.6,314.75,-144.66
394,-85.93,318.03,-157.43
395,-78.66,318.46,-163.59
396,-85.93,319.46,-168.54
397,-97.41,320.07,-177.22
398,-96.26,319.71,-180.0
399,-93.78,318.87,-187.67
400,-99.9,318.39,-194.95
401,-99.52,315.98,-208.77
402,-102.96,315.0,-214.58
403,-103.15,314.09,-218.55
404,-103.92,312.05,-227.29
405,-105.07,311.85,-228.11
406,-114.64,308.86,-239.21
407,-114.25,307.22,-242.78
408,-113.11,301.92,-254.55
409,-113.3,299.55,-260.1
410,-116.93,298.72,-262.03
411,-124.21,294.65,-270.04
412,-128.8,292.44,-273.29
413,-127.46,284.27,-283.45
414,-129.95,280.6,-288.24
415,-133.58,278.53,-290.72
416,-135.11,268.47,-301.29
417,-129.37,260.71,-309.01
418,-129.56,260.63,-309.12
419,-137.03,257.14,-313.33
420,-144.3,252.21,-317.92
421,-146.21,239.91,-326.77
422,-146.79,227.2,-335.27
423,-148.7,220.86,-339.42
424,-151.76,218.94,-340.58
